recipes_id,title,cook_time_minutes,ingredients,instructions,photo_url,prep_time_minutes,total_time_minutes,rating_stars,review_count
10,Sun Dried Tomato and Asiago Cheese Bread,0,"['1 cup water', '2 tablespoons extra virgin olive oil', '1 teaspoon lemon juice', '2 tablespoons white sugar', '2 tablespoons instant powdered milk', '1 teaspoon salt', '2 1/2 cups bread flour', '1/2 cup amaranth flour', '2 tablespoons chopped sun-dried tomatoes', '1/4 cup grated Asiago cheese', '1 teaspoon dried basil (optional)', '1/2 teaspoon freshly ground black pepper', '1 teaspoon active dry yeast']","['Place all ingredients into bread machine in order given.', 'Bake according to bread machine directions for regular bake.']",http://images.media-allrecipes.com/userphotos/250x250/3010.jpg,0,0,4.57,47
11,Hawaiian Sweet Bread,0,"['1 cup warm water', '5 tablespoons white sugar', '3 cups all-purpose flour', '3/4 teaspoon salt', '2 tablespoons dry milk powder', '2 tablespoons dry potato flakes', '1 tablespoon active dry yeast', '1/4 teaspoon vanilla extract', '1/4 teaspoon lemon extract', '2 eggs', '4 tablespoons margarine']","['Measure ingredients into the bread machine in the order suggested by the manufacturer.', 'Set machine for dough.', 'Place dough in a 9x5 inch loaf pan. Allow to rise until doubled. Preheat the oven to 350 degrees F (175 degrees C).', 'Bake in the preheated oven for about 30 minutes. Crust should be golden and bread should sound hollow when thumped.']",http://images.media-allrecipes.com/userphotos/560x315/2692064.jpg,0,0,4.19,40
12,The Best Corn Bread You'll Ever Eat,5,"['1 egg', '1 1/3 cups milk', '1/4 cup vegetable oil', '2 cups self-rising corn meal mix', '1 (8 ounce) can cream-style corn', '1 cup sour cream']","['Heat oven to 425 degrees F (220 degrees C). Grease a 9 inch iron skillet.', 'In a large bowl, beat the egg. Add milk, oil, sour cream, cream corn, and cornmeal mix; stir until cornmeal is just dampened. Pour batter into greased skillet.', 'Bake for 25 to 30 minutes, or until knife inserted in center comes out clean.']",http://images.media-allrecipes.com/userphotos/560x315/2985865.jpg,30,35,3.58,68
13,No Knead Refrigerator Rolls,0,"['4 1/2 teaspoons active dry yeast', '2 cups warm water', '1/2 cup white sugar', '2 teaspoons salt', '1/4 cup shortening', '6 1/2 cups all-purpose flour', '1 egg']","['In a large bowl, dissolve yeast in warm water and set aside to proof.', 'In another bowl, mix together sugar, salt, shortening, and egg with an electric mixer at low speed. Add mixture to yeast, and stir in flour. The last 3 cups of flour will have to be mixed in by hand.', 'Cover dough with a damp cloth, and place in refrigerator. Punch down occasionally as dough rises. You can leave dough in refrigerator overnight.', 'Two hours before baking, shape the dough into rolls. Place on greased pans, baking trays or muffin pans. Let rise 2 hours.', 'Bake at 400 degrees F ( 205 degrees C) for 8 to 10 minutes.']",http://images.media-allrecipes.com/userphotos/250x250/359621.jpg,0,0,4.36,41
14,Sourdough Starter I,10,"['3 tablespoons instant mashed potato flakes', '3 tablespoons white sugar', '1 cup warm water', '2 1/4 teaspoons active dry yeast']","['Combine instant potatoes, sugar, water, and yeast in a covered container. Let the starter sit on a counter for 5 days, stirring daily with a wooden spoon.', 'On the morning of the fifth day, feed the starter with 3 tablespoons instant potatoes, 3 tablespoons sugar, and 1 cup warm water. In the evening, take out 1 cup of the starter to use in a sourdough recipe. Refrigerate the remaining starter.', 'Every five days, feed the starter 3 tablespoons instant potatoes, 3 tablespoons sugar and 1 cup water. If starter is to be used in a recipe, let the fed starter rest at room temperature 6 hours before use. If starter is not being used in a recipe, keep refrigerated and discard 1 cup of starter after each feeding.']",http://images.media-allrecipes.com/userphotos/250x250/906669.jpg,0,0,4.59,94
15,Sourdough Bread I,0,"['1 cup sourdough starter', '1 1/2 cups warm water', '1 1/2 teaspoons salt', '1/2 cup white sugar', '1/2 cup corn oil', '6 cups bread flour']","['Mix sugar, corn oil, salt, water, and 1 cup of sourdough starter together in a large bowl. Sift the flour and add to the mixture. Grease or oil the dough. Place the dough in an oiled bowl, cover, and let rise overnight.', 'The next day, knead the dough for 10 minutes. Divide in half, and place into two greased 4 x 8 inch bread pans. Allow the dough to double in size.', 'Bake at 350 degrees F (175 degrees C) for 40 to 45 minutes, or until bread is golden brown and taps hollow. Turn out to cool on wire racks.']",http://images.media-allrecipes.com/userphotos/560x315/4525477.jpg,0,0,4.49,198
16,Dilly Bread,20,"['1 (.25 ounce) package active dry yeast', '1/4 cup warm water', '1 pinch white sugar', '1 cup cottage cheese', '1 tablespoon margarine', '2 tablespoons white sugar', '2 teaspoons dill seed', '1 teaspoon dried minced onion', '1 teaspoon salt', '1/4 teaspoon baking soda', '1 egg', '2 1/4 cups all-purpose flour', '1 tablespoon margarine, melted', '1 teaspoon kosher salt']","['Stir the yeast into the warm water, and add a pinch of sugar. Set aside to proof.', 'In a large saucepan, warm the cottage cheese and margarine until the fat is melted. Remove from heat, and add sugar, onion flakes, dill seed, salt, and soda. Mix in egg and dissolved yeast. Stir in flour for a stiff dough. Place dough in a greased bowl, and turn several times to thoroughly coat. Let rise until double in size in a warm place, usually 50 to 60 minutes.', 'Stir the dough until it is deflated. Place into an 8 inch round, buttered 2 quart casserole. Let rise 30 to 40 minutes in a warm place.', 'Bake at 350 degrees F (175 degrees C) for 40 to 50 minutes until golden brown. Brush top with melted margarine. Sprinkle lightly with salt.']",http://images.media-allrecipes.com/userphotos/560x315/2317716.jpg,45,145,4.59,47
17,Pumpkin Bread I,25,"['3 1/2 cups all-purpose flour', '2 teaspoons baking soda', '1 teaspoon salt', '1/2 teaspoon baking powder', '3 cups white sugar', '1 teaspoon ground cinnamon', '1 teaspoon pumpkin pie spice', '1 cup applesauce', '4 eggs, lightly beaten', '1 (15 ounce) can pumpkin puree', '1/4 cup water', '1/2 cup chopped walnuts (optional)']","['Preheat oven to 350 degrees F (175 degrees C). Grease three 7 1/2 x 3 1/2-inch loaf pans.', 'In a large mixing bowl combine the flour, soda, salt, baking powder, sugar, cinnamon, and pumpkin pie spice. Stir well. Add applesauce, eggs, pumpkin, and water. Mix batter until well combined. Stir in nuts. Pour batter into prepared pans.', 'Bake until tester inserted in the center of each loaf comes out clean, 50 to 60 minutes.']",http://images.media-allrecipes.com/userphotos/250x250/918150.jpg,50,75,4.59,135
18,Sy's Challah,0,"['1/4 cup white sugar', '1 tablespoon salt', '1/4 cup vegetable oil', '1 1/4 cups warm water', '2 (.25 ounce) packages active dry yeast', '3 eggs', '6 cups all-purpose flour', '1 egg', '1 tablespoon poppy seeds (optional)']","['Place sugar, salt, and oil in either a mixing bowl for an electric mixer with a dough hook or any large bowl. Add hot water, and stir to dissolve the sugar and salt. Stir in yeast, and let stand until mixture gets foamy. Add slightly beaten eggs.', 'If using an electric mixer, add 4 1/2 cups of flour to the yeast mixture. Mix until flour is mixed in, and dough gets stringy. This stringiness indicates that the gluten has developed. Continue to add flour until dough is all on dough hook; 1 or 2 cups is usually sufficient. Let hook continue to knead for several minutes. Dough should be smooth and elastic. To knead by hand, stir 4 1/2 cups of flour in to the yeast mixture. Turn soft dough onto lightly floured surface, and work in 1 to 2 cups of flour. Knead until smooth and elastic, about 8 to 10 minutes.', 'Place dough into a greased bowl, and turn several times to coat the surface. Cover bowl with a damp cloth. Let dough rise until doubled in bulk. Punch down after first rising, and allow to rise a second time. The first rising is about 1 hour, the second about 45 minutes. Two risings makes for a better bread, but if time is a problem just do one.', 'Divide dough in half, and divide each half into three or four equal parts. Make two braids, and place both breads on a greased baking sheet. Cover, and allow to rise until doubled. Brush with beaten egg. Sprinkle with poppy seeds, if desired.', 'Bake at 350 degrees F (175 degrees C) for 35 minutes until golden brown. Allow loaves to cool on a wire rack.']",http://images.media-allrecipes.com/userphotos/560x315/1141764.jpg,0,0,4.64,77
19,Onion Bread I,0,"['2 (.25 ounce) packages active dry yeast', '3/4 cup warm water', '2 cups milk', '3 tablespoons white sugar', '2 1/2 teaspoons salt', '3 tablespoons margarine', '6 1/4 cups all-purpose flour', '1 (1 ounce) package dry onion soup mix']","['Warm the milk in a small saucepan until it bubbles, then remove from heat. Let cool until lukewarm. In a large bowl, stir together yeast, warm water, and 1 teaspoon sugar. Set aside to proof.', 'Add milk, 2 2/3 tablespoons sugar, salt, butter or margarine, flour, and soup mix to the yeast in the bowl. Combine until dough forms, and then turn out on a lightly floured surface. Knead until dough is elastic. Oil a large bowl. Place the dough in the bowl, and turn several times to coat. Cover the bowl with a damp cloth, and set aside in a warm place to rise for 30 minutes.', 'Divide dough in half. Shape into loaves, and place into two greased 8 1/2 x 4 1/2 inch bread pans. Set aside to rise for 30 minutes.', 'Bake at 375 degrees F (190 degrees C) for 40 minutes. Loaf will sound hollow when done.']",http://images.media-allrecipes.com/userphotos/250x250/340352.jpg,0,0,4.5,21
20,Grandma VanDoren's White Bread,0,"['3 cups warm water', '3 tablespoons active dry yeast', '3 teaspoons salt', '4 tablespoons vegetable oil', '1/2 cup white sugar', '8 cups bread flour']","['In a large bowl, combine warm water, yeast, salt, oil, sugar, and 4 cups flour. Mix thoroughly, and let sponge rise until doubled in size.', 'Gradually add about 4 cups flour, kneading until smooth. Place dough in a greased bowl, and turn several times to coat. Cover with a damp cloth. Allow to rise until doubled.', 'Punch down the dough, let it rest a few minutes. Divide dough into three equal parts. Shape into loaves, and place in three 8 1/2 x 4 1/2 inch greased bread pans. Let rise until almost doubled.', 'Bake at 350 degrees F (175 degrees C) for 35 to 45 minutes. The loaves may need to be covered for the last few minutes with foil to prevent excess browning.']",http://images.media-allrecipes.com/userphotos/560x315/3261061.jpg,0,0,4.78,765
21,Italian Bread I,0,"['1/4 cup chopped sun-dried tomatoes', '2 1/2 cups all-purpose flour', '2 tablespoons white sugar', '2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/4 teaspoon salt', '1 teaspoon dried rosemary', '2 tablespoons dried parsley', '1 cup shredded sharp Cheddar cheese', '1/4 cup chopped green onions', '1 egg', '1 1/2 cups buttermilk', '3 tablespoons olive oil', '1 clove crushed garlic']","['Preheat oven to 350 degrees F (175 degrees C). Grease a 9 x 5 loaf pan.', 'Whisk together the oil, egg, and buttermilk in a small bowl.', 'In a large bowl, whisk together flour, sugar, baking powder, soda, salt, and dried herbs. Stir in cheese and onions. Pour buttermilk mixture into the flour mixture, and stir to combine. Add garlic and tomatoes until evenly distributed. Spread batter into prepared pan. Smooth top, and tap pan on counter to remove bubbles.', 'Bake for 60 to 65 minutes, until golden. Cool loaf on wire rack.']",http://images.media-allrecipes.com/userphotos/560x315/422084.jpg,0,0,3.97,22
22,Sunday Dinner Rolls,0,"['1 (.25 ounce) package active dry yeast', '1/4 cup warm water', '1 pinch white sugar', '1/2 cup white sugar', '2 eggs', '1 cup warm water', '1/2 cup vegetable oil', '1 teaspoon salt', '4 cups all-purpose flour']","['In a large bowl, stir yeast, 1/4 cup warm water, and a pinch of sugar.', ""In another bowl, beat eggs in 1 cup warm water; add oil and salt. Mix egg mixture into yeast, and add sugar. Gradually add flour. Cover with a damp cloth, and allow to stand at room temperature for 1 hour, then place in the refrigerator and allow to rise overnight. This dough is rather sticky, and will raise to at least twice it's size."", 'Divide the dough into 4 equal parts. Roll each section out into a circle on a floured board or wax paper. Cut into pizza slice shapes, and roll slices large end to small end. Place on greased flat baking pans, and allow to rise for 2 hours.', 'Bake at 375 degrees F (190 degrees C) for 8 minutes.']",http://images.media-allrecipes.com/userphotos/250x250/196189.jpg,0,0,4.48,155
23,Banana Wheat Bread,0,"['2 cups whole wheat flour', '1/4 cup wheat germ', '1 teaspoon salt', '1 teaspoon baking soda', '1 1/2 cups mashed bananas', '1/4 cup vegetable oil', '1/2 cup honey', '2 eggs', '1 teaspoon vanilla extract', '1/2 cup chopped pecans']","['Grease a 9 x 5 inch loaf pan. Preheat oven to 350 degrees (175 degrees C).', 'Combine oil, honey, eggs, vanilla, and mashed bananas in a bowl.', 'In a large bowl, whisk together flour, wheat germ, salt, and baking soda. Make a well in dry ingredients, and add the banana mixture. Mix together until dry ingredients are moistened. Stir in nuts. Pour batter into prepared pan.', 'Bake 1 hour in preheated oven. Test for doneness, and cool on wire rack.']",http://images.media-allrecipes.com/userphotos/250x250/202505.jpg,0,0,4.57,168
24,Banana Bread,15,"['1 1/2 cups all-purpose flour', '1 teaspoon baking soda', '1/2 teaspoon salt', '1 cup white sugar', '2 eggs, beaten', '1/4 cup butter, melted', '3 bananas, mashed']","['Grease and flour two 7x3 inch loaf pans. Preheat oven to 350 degrees F (175 degrees C).', 'In one bowl, whisk together flour, soda, salt, and sugar. Mix in slightly beaten eggs, melted butter, and mashed bananas. Stir in nuts if desired. Pour into prepared pans.', 'Bake at 350 degrees F (175 degrees C) for 1 hour, or until a wooden toothpick inserted in the center comes out clean.']",http://images.media-allrecipes.com/userphotos/560x315/4480205.jpg,60,75,4.68,887
25,Candied Fruit Bread,0,"['2 cups sifted all-purpose flour', '4 teaspoons baking powder', '1/2 teaspoon salt', '1/4 teaspoon ground cinnamon', '3/4 cup white sugar', '1/4 cup chopped candied citron', '1/4 cup currants', '2 tablespoons chopped candied cherries', '2 tablespoons chopped candied lemon peel', '1/4 cup chopped blanched almonds', '1/4 cup chopped pecans', '1 cup milk', '2 eggs', '3 tablespoons butter, melted']","['Grease an 8 x 5 inch loaf tin thoroughly. Preheat oven to 375 degrees F (190 degrees C).', 'In a small bowl, beat the eggs well. Add milk and melted butter or shortening, and mix well.', 'Sift together flour, baking powder, salt, and cinnamon into a large mixing bowl. Add sugar, prepared fruits and nuts, and mix well. Add egg mixture to fruit and nut mixture, stirring just enough to blend. Turn batter into greased loaf tin. Let stand for 20 minutes.', 'Place pan in center of oven on middle rack. Bake for 60 to 70 minutes. Turn out on wire rack, and allow to cool for several hours before slicing.']",http://images.media-allrecipes.com/userphotos/250x250/325017.jpg,0,0,4.56,8
26,Nut and Fruit Bread,0,"['2 cups sifted all-purpose flour', '4 teaspoons baking powder', '1/2 teaspoon salt', '1/2 cup white sugar', '3/4 cup chopped walnuts', '1 cup raisins', '1 tablespoon orange zest', '1 egg', '1 cup milk', '2 tablespoons butter, melted']","['Grease an 8 x 5 inch loaf tin thoroughly. Preheat oven to 350 degrees F (175 degrees C).', 'In a small bowl, beat the egg well. Mix in milk and melted butter or shortening.', 'Sift flour, baking powder, and salt together into a mixing bowl. Add sugar, nuts, raisins and orange rind; mix well. Blend egg mixture into fruit and nut mixture until flour is just moistened. Turn batter into greased loaf tin, and allow to stand for 20 minutes.', 'Place pan in the center of the oven. Bake for 55 to 60 minutes. Turn bread out on wire rack, and cool for several hours before slicing.']",http://images.media-allrecipes.com/userphotos/560x315/4499063.jpg,0,0,4.67,6
27,Mother's Banana Bread,15,"['1 3/4 cups all-purpose flour', '2 teaspoons baking powder', '1/4 teaspoon baking soda', '1/2 teaspoon salt', '2/3 cup white sugar', '1/3 cup butter, softened', '2 eggs', '1 cup mashed banana', '1/2 cup chopped walnuts']","['Grease an 8x4 inch loaf pan. Preheat oven to 350 degrees F (175 degrees C).', 'In a large mixing bowl, sift together flour, baking powder, baking soda, salt, and sugar. Add butter, eggs, nuts, and mashed banana. Beat until well blended.', 'Pour batter into prepared pan and bake about 1 hour, or until a toothpick inserted in the center of the loaf comes out clean.']",http://images.media-allrecipes.com/userphotos/560x315/1032660.jpg,60,75,4.45,219
28,Pumpernickel Bread I,0,"['1 1/2 cups warm milk', '1 1/2 tablespoons vegetable oil', '3 tablespoons molasses', '2 1/2 cups bread flour', '1 cup rye flour', '1/3 cup cornmeal', '1 teaspoon salt', '1 3/4 teaspoons active dry yeast', '3 tablespoons unsweetened cocoa powder']","['Place ingredients into the bread machine in order suggested by the manufacturer.', 'Use the Light Crust or Whole Wheat settings. Start the machine.']",http://images.media-allrecipes.com/userphotos/250x250/975243.jpg,0,0,3.83,13
29,Buttermilk Bread I,0,"['1 1/2 cups buttermilk', '1 1/2 tablespoons margarine', '2 tablespoons white sugar', '1 teaspoon salt', '3 cups bread flour', '1 1/3 cups whole wheat flour', '2 1/4 teaspoons active dry yeast']","['Place buttermilk, butter or margarine, sugar, salt, flour, whole wheat flour, and yeast into pan of bread machine.', 'Bake on White Bread setting. Cool on wire racks before slicing.']",http://images.media-allrecipes.com/userphotos/560x315/4460345.jpg,0,0,3.79,37
30,Sun Dried Tomato Focaccia,0,"['1 cup water', '3 cups bread flour', '2 tablespoons dry milk powder', '3 1/2 tablespoons white sugar', '1 teaspoon salt', '3 tablespoons margarine', '2 teaspoons active dry yeast', '1/2 cup chopped sun-dried tomatoes', '2 tablespoons olive oil', '2 tablespoons Parmesan cheese', '2 teaspoons dried rosemary, crushed', '1 teaspoon garlic salt', '1 cup shredded mozzarella cheese']","['Place water, flour, powdered milk, sugar, salt, butter or margarine, tomatoes, and yeast into bread machine in the order suggested by the manufacturer. Set to Dough cycle, and start the machine. Dough will be 1/2 pound.', 'When the bread machine has finished the Dough cycle, take the dough out. Knead for 1 minute by hand. Place in an oiled bowl, and turn a few times to coat the surface of the dough. Cover with a damp cloth, and let rise for 15 minutes in a warm place.', 'Dust a 10 x 15 inch baking tray with cornmeal. Roll out dough to fit the pan. Make indentations in the dough with your finger tips. Brush top surface with oil, and cover with a damp cloth. Allow to rise for 30 minutes.', 'Sprinkle with parmesan, rosemary, garlic salt, and mozzarella.', 'Bake at 400 degree F (205 degrees C) for 15 minutes, or until nicely browned. Cool slightly, and cut into squares for serving.']",http://images.media-allrecipes.com/userphotos/250x250/259396.jpg,0,0,4.36,46
